,Cell ID,Slice,x,y,Dist to pia,Dist to bottom,Angle,Ank1,Kcnmb2,Ankrd55,Slc32a1,Btbd11,Arx,Dlx1,Gad2,Pvalb,Pdgfra,Nxph4,Car3,Slc17a8,Syt6,Rspo1,Lratd2,Deptor,Ndnf,Chrna2,Calb1,Sncg,Th,Gad1,Slc17a7,Neurod1,Rorb,Fezf2,Adarb2,Lamp5,Vip,Lhx6,Chodl,Fa2h,Ly86,Ly6c2,Dcn,Fgfr3,Map3k7cl,Nxph1,Pcp4,Neurod6,Nrn1,Sst,Nrgn,Ptn,Cck,Synpr,Slc6a1,Dlx6,Atp1a3,Arpp19,Npy,Cxcl14,Rab3b,Cryab,Penk,Tesc,Crh,Caln1,Kcnip1,Gm11549,Ctxn1,Car4,Nfib,Id2,Igfbp6,Itpka,Ptprd,Sv2b,Vxn,Reln,Rprml,Cnr1,Cacna2d3,Plpp4,Adcy2,Kcnip4,Sparcl1,Brinp3,unused-1,unused-2
4028,270269,2,14269.1,10049.0,1091.63,45.1504,179.47099999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,12,2,0,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
4029,270270,2,14235.0,10989.9,1035.82,102.912,176.44299999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,9,1,0,1,0,0,2,0,0,3,0,1,0,0,0,0,0,3,0,0,0
4030,270271,2,14262.6,11235.3,1025.31,115.012,175.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,5,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,8,1,1,0,1,0,13,0,0,0,0,1,0,0,0,1,0,17,3,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0
4031,270272,2,14270.8,9252.75,1140.7,1.52112,3.7498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,8,0,0,1,2,0,0,2,0,0,0,1,1,0,0,0,0,3,0,0,0
4032,270274,2,14274.0,9075.63,1152.3,12.1375,4.41895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4033,270275,2,14291.9,11067.9,1036.51,102.85600000000001,175.91099999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,1,1,0,0,0,1,1,3,0,1,0,0,0,0,0,1,0,0,0
4034,270276,2,14319.5,11326.3,1025.57,115.71600000000001,174.601,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,7,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,9,0,0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,8,2,0,2,1,0,2,0,4,11,0,0,2,0,0,1,0,5,1,0,0
4035,270277,2,14316.3,10413.0,1074.36,62.602,178.81599999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0
4036,270278,2,14322.8,10788.4,1054.05,84.0147,177.11599999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,1,1,2,2,0,0,0,0,0,0,8,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0
4037,270280,2,14399.1,10858.3,1056.72,81.9017,176.57299999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,1,5,1,0,0,0,2,1,1,0,1,8,0,0,0,0,0,13,0,0,0,1,0,0,10,2,5,0,1,0,0,0,0,0,0,0,0,0
4038,270281,2,14381.3,9462.38,1136.12,1.7651599999999998,177.42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0
