,Alcam,Ank1,Ankrd55,B3galt1,Cdh9,Chodl,Cux2,Dlx1,Elfn1,Fam19a2,Fezf2,Foxp2,Gad2,Galnt14,Grin3a,Grm5,Kcnip4,Kcnk2,Kcnmb2,Ldb2,Lhx6,Lingo2,Mef2c,Mpped1,Npas1,Nr2f2,Nts,Parm1,Pcdh8,Pde1a,Prox1,Pvalb,Rorb,Satb2,Sema3e,Sez6,Slc32a1,Sv2c,Syndig1,Thsd7a,Tnni3k,Unc13c,x_um,y_um,z_um
643,10,6,0,6,0,0,19,0,3,5,0,1,1,2,2,9,0,2,0,1,0,2,43,6,0,0,0,1,0,2,1,7,12,22,0,0,3,0,9,0,0,1,419.588216,13480.068522999998,32.545178
644,18,5,0,4,0,0,18,0,1,8,1,1,0,0,2,23,6,3,0,0,0,3,51,10,0,0,1,2,0,2,1,2,18,13,0,2,1,0,13,2,0,1,124.353473,13275.370696,25.010498000000002
645,6,3,0,6,0,0,17,0,0,3,0,1,0,1,1,9,1,2,0,2,0,4,15,10,0,0,0,1,1,1,1,2,3,4,0,2,1,0,3,0,0,0,1899.4115399999998,13856.568508000002,31.97008
646,10,8,0,3,0,0,22,0,3,4,0,0,0,0,0,8,0,4,0,1,0,1,38,7,0,0,0,0,1,0,2,3,9,14,0,2,0,0,6,4,0,0,1267.934115,12253.018811,40.368406
647,8,5,0,4,0,0,12,0,1,3,0,0,1,0,2,6,1,2,0,0,0,0,26,10,0,0,0,3,0,0,0,4,9,8,0,1,0,2,5,3,0,1,259.612677,12844.112366,32.454169
648,6,5,0,2,0,0,8,0,1,4,0,0,0,0,0,8,2,3,0,0,0,1,26,11,0,0,0,1,0,1,0,1,4,12,0,0,0,0,3,1,0,0,855.7037119999999,12285.584328,42.27724
649,2,3,1,2,0,0,9,0,2,3,0,0,1,0,1,3,2,1,1,0,0,1,22,7,0,0,0,1,0,0,0,6,7,7,0,1,3,0,7,4,0,0,505.343859,12300.053003,43.505932
650,12,2,0,7,0,0,12,0,2,4,0,0,1,0,0,8,0,3,0,1,0,3,25,10,0,0,1,1,0,1,1,5,8,14,0,2,1,0,6,1,0,0,194.476138,12472.370392,40.139607
651,4,3,0,4,0,0,9,0,2,3,0,0,4,0,0,4,0,1,0,1,0,0,8,3,0,0,1,0,0,1,1,3,2,6,0,0,1,0,4,0,0,0,1707.053457,12294.402541,41.797328
652,4,1,0,5,0,0,17,0,0,7,0,1,3,0,2,8,0,3,0,1,0,1,36,13,0,0,0,1,0,1,1,3,10,14,0,0,0,0,7,6,1,0,3849.112493,12880.467031,37.198199
653,21,6,0,14,0,0,19,0,1,17,2,0,2,2,2,29,1,9,0,2,0,1,62,19,0,0,0,4,0,6,1,8,25,30,1,5,0,1,14,0,0,4,3649.2563299999997,13325.300116,41.924753
654,3,1,0,4,0,0,21,0,0,9,0,0,2,0,0,3,1,0,0,1,0,1,24,4,0,0,0,1,0,2,0,2,6,9,1,1,0,0,10,0,0,0,3527.7732909999995,12240.335249,37.93118
655,10,45,3,9,4,0,14,5,12,5,0,1,44,9,28,13,2,10,2,0,23,3,102,63,0,0,0,1,12,3,1,199,19,15,8,9,78,1,21,19,2,1,3350.8848989999997,12763.032045,49.381338
656,28,43,3,9,1,0,18,8,0,11,0,0,32,2,1,21,6,12,8,1,10,3,91,38,0,0,1,21,0,2,0,227,18,11,1,4,65,0,22,13,2,1,2995.4996929999998,13171.04803,33.073909
657,1,4,0,2,0,0,6,0,1,2,0,0,3,0,0,7,1,2,0,0,0,0,34,12,0,0,1,2,1,2,1,7,22,16,1,2,2,0,14,4,0,0,3156.326807,12419.002595999998,43.938028
658,7,2,0,3,1,0,4,0,1,0,0,0,1,0,2,2,1,2,0,0,0,1,11,5,0,0,0,2,0,1,0,4,4,4,0,0,0,0,2,0,1,0,3208.10047,13970.600206000001,45.878007000000004
659,13,5,0,14,0,0,26,0,0,9,0,0,4,1,0,23,2,7,0,1,0,1,77,12,1,0,0,2,1,2,0,6,24,23,0,2,2,0,18,5,0,2,2780.464209,12529.536132,38.948818
660,6,4,0,7,0,0,2,0,5,2,0,0,1,0,1,3,1,3,0,2,0,1,32,12,0,0,0,1,1,2,0,3,9,6,0,1,1,0,7,0,0,0,2890.574001,13781.841093000001,29.503451000000002
661,13,3,0,1,0,0,21,0,1,6,0,0,1,1,1,10,2,6,1,0,0,1,46,23,0,0,0,1,0,1,0,9,14,13,0,0,1,0,8,1,2,0,2567.748701,12892.924304,38.584552
662,3,3,1,1,0,0,7,1,1,3,0,0,2,0,1,3,1,2,0,2,1,2,21,10,0,0,0,0,0,4,0,3,7,3,0,0,2,0,7,0,0,3,2405.4348059999998,13410.779892,30.76707
663,6,1,1,2,1,0,14,0,0,2,0,1,7,0,0,3,0,1,0,0,0,0,25,12,1,0,0,1,0,0,0,1,7,8,0,0,2,1,1,0,0,0,2188.348794,12784.848363,34.6141
664,30,4,0,8,0,0,12,1,0,4,1,0,3,0,1,16,2,5,1,3,1,1,79,25,0,0,1,8,0,11,1,1,19,16,0,6,1,2,14,1,1,2,3607.5699310000005,13828.557946,46.81745
665,8,15,1,1,0,0,7,4,1,0,0,0,7,0,3,1,1,1,2,0,2,2,26,8,0,1,0,9,1,3,2,46,3,6,0,3,20,1,7,2,0,0,2866.419721,13376.150873999999,28.234310999999998
