,Alcam,Ank1,Ankrd55,B3galt1,Cdh9,Chodl,Cux2,Dlx1,Elfn1,Fam19a2,Fezf2,Foxp2,Gad2,Galnt14,Grin3a,Grm5,Kcnip4,Kcnk2,Kcnmb2,Ldb2,Lhx6,Lingo2,Mef2c,Mpped1,Npas1,Nr2f2,Nts,Parm1,Pcdh8,Pde1a,Prox1,Pvalb,Rorb,Satb2,Sema3e,Sez6,Slc32a1,Sv2c,Syndig1,Thsd7a,Tnni3k,Unc13c
422,2,17,3,2,0,0,7,0,4,6,2,0,12,0,2,10,2,1,1,0,2,0,25,11,0,1,0,6,2,5,1,94,1,2,2,3,26,0,1,0,0,0
423,1,11,0,2,1,0,1,0,6,2,10,0,1,5,3,20,2,11,1,8,0,0,26,8,0,0,0,2,0,8,0,8,4,6,2,4,3,1,0,1,0,2
424,7,3,1,3,1,0,3,0,5,0,1,1,5,3,1,12,3,5,2,3,0,1,22,16,2,0,0,3,1,10,8,4,5,13,5,5,2,1,4,1,0,2
425,4,8,0,3,0,0,8,2,2,2,3,0,103,5,1,24,6,5,0,4,0,2,23,19,0,0,0,10,5,9,7,2,0,4,2,14,29,24,1,1,0,0
426,5,2,0,2,0,0,0,0,3,0,2,0,2,0,5,7,2,2,1,1,1,0,10,5,1,2,0,2,2,4,0,5,0,3,3,1,4,0,1,0,0,0
427,5,10,1,4,0,0,3,2,8,0,11,2,6,8,0,30,1,8,0,3,1,3,27,23,1,0,0,13,1,17,1,2,2,8,6,18,2,3,0,1,1,0
428,3,6,0,6,1,0,1,0,6,0,8,1,0,4,6,20,3,11,0,4,1,0,22,9,1,0,0,9,1,11,0,3,1,15,8,14,1,0,1,0,1,0
429,3,29,0,3,2,0,6,1,10,7,22,0,11,4,3,38,2,12,2,5,6,2,50,22,2,1,0,8,1,7,2,97,1,12,3,18,41,0,5,2,2,1
430,5,2,0,5,0,0,2,0,0,2,0,0,5,3,3,5,0,1,0,0,1,0,7,6,0,0,0,1,0,4,2,4,1,5,2,5,4,0,0,0,0,2
431,13,15,0,2,1,0,4,1,2,12,10,2,25,5,1,54,4,13,1,8,18,2,30,26,1,0,0,4,7,6,2,16,2,11,4,21,21,1,2,8,0,1
432,10,14,2,9,0,0,2,1,2,5,22,3,4,9,3,32,8,2,0,17,6,5,72,51,2,1,0,39,5,26,0,9,4,10,3,42,2,0,8,1,1,0
433,2,6,0,2,1,0,0,0,3,1,4,1,8,2,5,10,0,2,1,3,5,1,11,16,0,0,0,5,1,6,0,4,1,3,0,2,9,1,4,5,2,0
434,11,5,1,14,1,0,4,0,3,6,32,0,3,9,0,38,11,2,1,19,1,3,61,62,0,2,0,25,4,54,2,10,3,12,11,25,2,3,12,3,0,0
435,3,42,4,5,8,0,0,5,17,0,2,0,67,10,29,19,2,7,2,4,25,0,45,64,0,0,0,0,16,9,1,14,1,7,2,2,87,0,4,16,5,3
436,6,12,1,13,0,0,5,0,6,3,21,0,2,5,5,45,6,5,0,9,0,2,117,61,4,0,1,36,4,48,0,7,1,16,9,33,1,0,12,1,1,1
