"cellID","x","y","z","area","layerData","experiment"
"Cell_75",-1.77632819755732,-0.7410039465034,0,0.00088,0,"smFISHv"
"Cell_76",-1.11018199402286,-0.764370764504502,0,0.001244,0,"smFISHv"
"Cell_77",-1.03483661020836,-0.853837294970579,0,0.00056,0,"smFISHv"
"Cell_78",-1.70356221463602,-0.778566993652805,0,0.001356,0,"smFISHv"
"Cell_79",-1.65892942588045,-0.585388374640299,0,0.000268,0,"smFISHv"
"Cell_80",-0.999573912014827,-0.728684175190173,0,3e-04,0,"smFISHv"
"Cell_81",-1.00934460933385,-0.863220215112025,0,0.00048,0,"smFISHv"
"Cell_82",-1.74960935306242,-0.819322202641152,0,0.000396,0,"smFISHv"
"Cell_83",-1.60377155526221,-0.75846964912152,0,0.001124,0,"smFISHv"
"Cell_84",-1.01316964502938,-0.781741657126539,0,0.000816,0,"smFISHv"
"Cell_85",-1.73566661870266,-0.794366397260075,0,0.000856,0,"smFISHv"
"Cell_86",-1.79053332916331,-0.884238626766694,0,0.000628,0,"smFISHv"
"Cell_87",-0.951778419980753,-0.778296983559023,0,0.001232,0,"smFISHv"
"Cell_88",-1.75469365565728,-0.77130435546464,0,0.000544,0,"smFISHv"
"Cell_89",-1.72920447586401,-0.826328491063031,0,0.000648,0,"smFISHv"
"Cell_90",-1.77089079382293,-0.498511321200893,0,3e-04,0,"smFISHv"
"Cell_91",-1.78299516031787,-0.699467252119044,0,0.00064,0,"smFISHv"
"Cell_92",-1.52253897492559,-0.810809859890335,0,0.001052,0,"smFISHv"
"Cell_93",-1.77008681579866,-0.772887484667339,0,0.000448,0,"smFISHv"
"Cell_94",-0.995550470531591,-0.884885483112516,0,0.000372,0,"smFISHv"
"Cell_95",-1.53580120994853,-0.763489881064092,0,0.000436,0,"smFISHv"
"Cell_96",-1.56349334539983,-0.891974437430288,0,0.000236,0,"smFISHv"
"Cell_97",-1.49235559337831,-0.880131113645464,0,0.001044,0,"smFISHv"
"Cell_98",-1.74506603075865,-0.893723791286577,0,0.000444,0,"smFISHv"
"Cell_99",-1.62274731013444,-0.735701048997324,0,0.000604,0,"smFISHv"
"Cell_100",-1.73587639079953,-0.711539301565398,0,0.000684,0,"smFISHv"
"Cell_101",-1.65601814893944,-0.803648375471094,0,0.00072,0,"smFISHv"
"Cell_102",-1.67843773574486,-0.70690215469924,0,0.000584,0,"smFISHv"
"Cell_103",-1.09894042501565,-0.728311156162717,0,0.000184,0,"smFISHv"
"Cell_104",-1.63834424156551,-0.75264241166602,0,0.000792,0,"smFISHv"
"Cell_105",-1.60356448634482,-0.790300498119951,0,0.001212,0,"smFISHv"
"Cell_106",-1.7848061743212,-0.831307829719009,0,0.000864,0,"smFISHv"
"Cell_107",-1.57081613188075,-0.600525836503675,0,0.00016,0,"smFISHv"
"Cell_108",-1.71551553532248,-0.667066371986181,0,0.00042,0,"smFISHv"
"Cell_109",-1.1852924470414,-0.877480879020649,0,0.000228,0,"smFISHv"
"Cell_110",-1.65790354306114,-0.724477630205568,0,0.001056,0,"smFISHv"
"Cell_111",-1.7377255760205,-0.845309934367581,0,0.000888,0,"smFISHv"
"Cell_112",-1.47739390770324,-0.788799145724465,0,0.000284,0,"smFISHv"
"Cell_113",-0.975478236503429,-0.856482223610329,0,0.00056,0,"smFISHv"
"Cell_114",-0.994575408089065,-0.740359399560783,0,0.000184,0,"smFISHv"
"Cell_115",-1.66828397019835,-0.820721216266877,0,0.001888,0,"smFISHv"
"Cell_116",-1.67179240931731,-0.741124542350315,0,0.000864,0,"smFISHv"
"Cell_117",-0.968767902785077,-0.762226903828538,0,0.000312,0,"smFISHv"
"Cell_118",-1.66592445827678,-0.857045404161035,0,0.001476,0,"smFISHv"
"Cell_119",-1.75009972337311,-0.879847617772279,0,0.00076,0,"smFISHv"
"Cell_120",-0.9678404324213,-0.836447026336182,0,0.00068,0,"smFISHv"
"Cell_121",-1.20145165037663,-0.818674948657853,0,0.00038,0,"smFISHv"
"Cell_122",-1.59091626493566,-0.810737243728184,0,0.000976,0,"smFISHv"
"Cell_123",-1.68038108427093,-0.766070751344536,0,0.000604,0,"smFISHv"
"Cell_124",-1.50522279517907,-0.838322072633278,0,0.00082,0,"smFISHv"
"Cell_125",-1.20719188893521,-0.752976540352606,0,0.000284,0,"smFISHv"
"Cell_126",-1.7931763691035,-0.792682549583233,0,0.00048,0,"smFISHv"
"Cell_127",-1.61308642529657,-0.599152921231461,0,0.000408,0,"smFISHv"
"Cell_128",-1.70756385360492,-0.822596493685176,0,0.00118,0,"smFISHv"
"Cell_129",-1.59438972163883,-0.792951827054564,0,0.000376,0,"smFISHv"
"Cell_130",-1.12652295398651,-0.83552559718694,0,0.002144,0,"smFISHv"
"Cell_131",-1.79361242846356,-0.814278277162766,0,0.000752,0,"smFISHv"
"Cell_132",-1.72277261655021,-0.709043047207649,0,0.000388,0,"smFISHv"
"Cell_133",-1.0427085116637,-0.760936023690504,0,0.000508,0,"smFISHv"
"Cell_134",-0.966316382353619,-0.798547265401105,0,0.001144,0,"smFISHv"
"Cell_135",-1.57159990405182,-0.785991758464843,0,0.001252,0,"smFISHv"
"Cell_136",-1.06716999177237,-0.822928606533677,0,0.001348,0,"smFISHv"
"Cell_137",-1.00289979240368,-0.763171632382357,0,0.001444,0,"smFISHv"
"Cell_138",-1.64056285520416,-0.833225927120281,0,0.00074,0,"smFISHv"
"Cell_139",-1.70994612777079,-0.700566845801762,0,0.001312,0,"smFISHv"
"Cell_140",-1.78035352105698,-0.892642976992637,0,0.000848,0,"smFISHv"
"Cell_141",-1.51153698180435,-0.878226475442174,0,0.000368,0,"smFISHv"
"Cell_142",-1.65363935769343,-0.830440057949797,0,0.000828,0,"smFISHv"
"Cell_143",-0.986682383827946,-0.752953328530162,0,0.00156,0,"smFISHv"
"Cell_144",-1.69619164364216,-0.866134575163706,0,0.000872,0,"smFISHv"
"Cell_145",-1.53684324208616,-0.826689924710582,0,0.000948,0,"smFISHv"
"Cell_146",-1.7720690931598,-0.69213053674,0,0.000592,0,"smFISHv"
"Cell_147",-1.68747084988203,-0.82250211044044,0,0.000728,0,"smFISHv"
"Cell_148",-1.45787924266444,-0.858230419852222,0,0.000252,0,"smFISHv"
"Cell_149",-1.67002414157176,-0.798515556238898,0,0.000432,0,"smFISHv"
"Cell_150",-1.5828333487994,-0.596371808038672,0,0.000268,0,"smFISHv"
"Cell_151",-1.75958726929926,-0.832199016995945,0,0.001028,0,"smFISHv"
"Cell_152",-1.76757579835108,-0.869433484863255,0,0.000408,0,"smFISHv"
"Cell_153",-1.63741801908491,-0.79801665174259,0,0.000644,0,"smFISHv"
"Cell_154",-1.75173628833639,-0.849871845768861,0,0.000776,0,"smFISHv"
"Cell_155",-1.05241126157021,-0.889434011427106,0,0.000188,0,"smFISHv"
"Cell_156",-1.77347504182048,-0.806979996433841,0,0.000252,0,"smFISHv"
"Cell_157",-0.951039893521927,-0.7305717511836,0,0.00022,0,"smFISHv"
"Cell_158",-1.47068363675834,-0.873036700114975,0,0.000964,0,"smFISHv"
"Cell_159",-1.74404806340538,-0.487637989241449,0,0.000312,0,"smFISHv"
"Cell_160",-1.59563383894487,-0.748761270294977,0,0.001044,0,"smFISHv"
"Cell_161",-1.78165595689406,-0.858077830058364,0,0.000572,0,"smFISHv"
"Cell_162",-1.63566695014646,-0.779239427988583,0,0.000192,0,"smFISHv"
"Cell_163",-0.946745510679371,-0.794349592390856,0,0.000388,0,"smFISHv"
"Cell_164",-0.984746349332141,-0.814498396446766,0,0.000256,0,"smFISHv"
"Cell_165",-1.15679188291573,-0.834348586700542,0,0.000384,0,"smFISHv"
"Cell_166",-1.41924347281253,-0.803017935992714,0,0.000364,0,"smFISHv"
"Cell_167",-1.69445253889674,-0.894240137767488,0,0.000172,0,"smFISHv"
"Cell_168",-1.07032915484426,-0.83506223540741,0,0.000244,0,"smFISHv"
"Cell_169",-1.79076653582354,-0.457272299984537,0,0.000328,0,"smFISHv"
"Cell_170",-1.42160296043444,-0.893619799757053,0,0.000532,0,"smFISHv"
"Cell_171",-1.76325454432188,-0.469105325282609,0,0.000276,0,"smFISHv"
